title,price,Make,Model,Year_of_manufacture,Condition,Transmission,Exchange,fuel_type,body_type,address_of_sale,Mileage
Foreign used 2012 Mercedes Benz ML350,"9,000,000",Mercedes,ML -class AMG,2012,,Automatic,,Petrol,,Lekki,56000
Toyota Camry 2008,"1,800,000",Toyota,Camry,2008,,Automatic,,Petrol,,Lekki,142000
Toyota Corolla 1998,"900,000",Toyota,Camry,1998,,Automatic,,Petrol,,Apapa,17500
1999 Toyota corolla ,"850,000",Toyota,Corolla,1999,,Automatic,,Petrol,,Lagos,12000
Lexus,"3,000,000",Lexus,RX,2004,,Automatic,,Petrol,,Badagry,10000
Foreign used 2012 Mercedes Benz ML350,"9,000,000",Mercedes,ML -class AMG,2012,,Automatic,,Petrol,,Lekki,56000
Foreign used 2014 Bentley GT,"42,500,000",Bentley,Continental,2014,,Automatic,,Petrol,,Lekki,59000
2018 BMW X6,"30,000,000",BMW,X6,2018,,Automatic,,Petrol,,Lagos,58981
Foreign used 2004 Toyota Highlander ,"2,550,000",Toyota,Highlander,2004,,Automatic,,Petrol,,Ikeja,90000
Foreign used 2015 Mercedes Benz S550 Coupe,"33,000,000",Mercedes,S -class,2015,,Automatic,,Petrol,,Lekki,22000
Foreign used 2017 Mercedes Benz C300 Coupe,"19,600,000",Mercedes,C -class,2017,,Automatic,,Petrol,,Lekki,28000
Foreign used 2014 Range Rover Sport Autobiography ,"26,500,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Lekki,44000
New 2019 Toyota Avalon XSE,"35,000,000",Toyota,Avalon,2018,,Automatic,,Petrol,,Lekki,63
Nigerian used 2002 Mercedes Benz G63,"7,500,000",Mercedes,G -class,2002,,Automatic,,Petrol,,Lekki,200000
Foreign used 2013 Mercedes Benz GL550,"13,550,000",Mercedes,GL -class,2013,,Automatic,,Petrol,,Lekki,39000
Foreign used 2014 Lexus GX460,"17,500,000",Lexus,GX,2014,,Automatic,,Petrol,,Lekki,125000
Foreign used 2018 Jeep Wrangler Rubicon,"26,000,000",Jeep,Wrangler,2018,,Automatic,,Petrol,,Lekki,47000
Foreign used 2017 Mercedes Benz G63,"60,000,000",Mercedes,G -class AMG,2017,,Automatic,,Petrol,,Lekki,16000
Foreign used 2017 Mercedes Benz GLS450,"33,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,30000
Mercedes G-wagon Bullet-proof ,"35,000,000",Mercedes,G -class,2008,,Automatic,,Petrol,,Island,16823
Nigerian used 2004 Lexus RX330,"2,500,000",Lexus,RX,2004,,Automatic,,Petrol,,Lekki,100000
Toyota Camry Sports 2007,"2,500,000",Toyota,Camry,2007,,Automatic,,Petrol,,Lagos,5540
Foreign used 2011 Mercedes Benz SLS AMG,"45,000,000",Mercedes,SLS -class AMG,2011,,Automatic,,Petrol,,Lekki,50000
Foreign used 2018 Range Rover Vogue SuperCharged ,"62,000,000",Land rover,Range Rover,2018,,Automatic,,Petrol,,Lekki,24000
Foreign used 2019 Infiniti QX80,"40,000,000",Infiniti,QX80,2018,,Automatic,,Petrol,,Lekki,10000
Foreign used 2012 Mercedes Benz ML350,"8,650,000",Mercedes,ML -class AMG,2012,,Automatic,,Petrol,,Lekki,60000
Foreign used 2018 Mercedes Benz GLC300,"27,500,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,10000
Foreign used 2018 Lexus LX570,"48,000,000",Lexus,LX,2018,,Automatic,,Petrol,,Lekki,8000
Toyota ,"5,000,000",Toyota,Highlander,2004,,Automatic,,Petrol,,Badagry,02148
Toyota Sienna 2008,"950,000",Toyota,Sienna,2008,,Automatic,,Petrol,,Zaria,02148
Toyota Corolla 1999,"700,000",Toyota,Corolla,1999,,Automatic,,Petrol,,Ibadan,100
Foreign used 2017 Mercedes Benz E300,"19,000,000",Mercedes,E -class,2017,,Automatic,,Petrol,,Lekki,29000
2019 Toyota Highlander,"22,000,000",Toyota,Highlander,2018,,Automatic,,Petrol,,Abuja,1000
Toyota Camry 1999,"800,000",Toyota,Camry,1999,,Automatic,,Petrol,,Abuja,1000
Foreign used 2016 Lexus LX570,"34,000,000",Lexus,LX,2016,,Automatic,,Petrol,,Lekki,34000
Nigerian used 2014 Toyota Prado TXL,"14,000,000",Toyota,Prado,2014,,Automatic,,Petrol,,Lekki,50000
Foreign used 2016 Mercedes Benz GLE450,"25,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,25000
2018 Mercedes Benz GLC 300,"25,000,000",Mercedes,G -class,2018,,Automatic,,Petrol,,Abuja,5000
 Lexus IS 250 2014,"8,600,000",Lexus,IS,2014,,Automatic,,Petrol,,Island,38174
Nigerian used 2016 Mercedes Benz GLE450,"20,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,40000
Foreign used 2014 Range Rover Vogue Autobiography ,"28,000,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Lekki,77000
Foreign used 2017 Mercedes Benz GLE63 AMG,"40,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,8000
American used 2009 Toyota Highlander Limited,"5,250,000",Toyota,Highlander,2009,,Automatic,,Petrol,,Ikeja,70000
Foreign used 2018 Range Rover Sport SuperCharged ,"43,500,000",Land rover,Range Rover,2018,,Automatic,,Petrol,,Lekki,17000
Foreign used 2017 Mercedes Benz GLC300,"26,500,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Ikeja,35000
Foreign used 2015 Mercedes Benz S550 AMG,"30,000,000",Mercedes,S -class AMG,2015,,Automatic,,Petrol,,Lekki,40000
Foreign used 2004 Toyota Highlander ,"2,500,000",Toyota,Highlander,2004,,Automatic,,Petrol,,Ikeja,100000
2019 Toyota Land Cruiser VXR (V8),"45,000,000",Toyota,Land Cruiser,2018,,Automatic,,Petrol,,Lekki,9500
Foreign used 2013 Range Rover Evogue ,"12,500,000",Land rover,Range Rover,2013,,Automatic,,Petrol,,Ikeja,65000
BMW X6 2011 Tokunbo,"9,500,000",BMW,X6,2011,,Automatic,,Petrol,,Surulere,53914
Mercedes Benz C230 2004,"1,000,000",Mercedes,C -class,2004,,Automatic,,Petrol,,Ikeja,128456
Toyota Hiace 1999,"3,300,000",Toyota,Hiace,1999,,Manual,,Petrol,,Egbeda,0000000
American used 2009 Toyota Venza XLE ,"5,600,000",Toyota,Venza,2009,,Automatic,,Petrol,,Ikeja,70000
Nigerian used 2013 Mercedes Benz G63 AMG,"25,500,000",Mercedes,G -class AMG,2013,,Automatic,,Petrol,,Lekki,44000
Nigerian used 2014 Range Rover Vogue,"18,000,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Lekki,65000
Foreign used 2012 Range Rover Evogue ,"11,600,000",Land rover,Range Rover,2012,,Automatic,,Petrol,,Lekki,61000
2016 Mercedes Benz G63 AMG,"40,000,000",Mercedes,G -class AMG,2016,,Automatic,,Petrol,,Lekki,65000
2010 Porsche 911 Turbo,"25,000,000",Porsche,911,2010,,Automatic,,Petrol,,Lekki,60000
2016 Lexus LX570,"38,500,000",Lexus,LX,2016,,Automatic,,Petrol,,Lekki,34000
2014 Toyota Highlander XLE,"10,500,000",Toyota,Highlander,2014,,Automatic,,Petrol,,Ikeja,50000
6 series BMW coupe,"6,000,000",BMW,6,2008,,Automatic,,Petrol,,Abuja,85000
2012 Mercedes Benz ML350,"10,000,000",Mercedes,ML -class AMG,2012,,Automatic,,Petrol,,Lekki,54000
Toyota Picnic 2000,"1,600,000",Toyota,Picnic,2000,,Automatic,,Petrol,,Oshogbo,163000
Mercedes Benz AMG S63,"21,999,999",Mercedes,S -class AMG,2017,,Automatic,,Hybrid,,Island,1900
Volkswagen Golf 3 1992,"900,000",Volkswagen,Golf,1992,,Manual,,Petrol,,Ijesha,130000
Bmw x6 2013 RED,"11,000,000",BMW,X6,2013,,Automatic,,Petrol,,Abuja,13000
Honda Accord 2000,"1,200,000",Honda,Accord,2000,,Manual,,Petrol,,Lagos,120000
Foreign used 2018 Lexus GX460,"31,000,000",Lexus,GX,2018,,Automatic,,Petrol,,Lekki,10000
2014 Toyota Prado,"9,850,000",Toyota,Prado,2014,,Automatic,,Petrol,,Lekki,28000
 2017 Mercedes Benz G63 AMG,"58,000,000",Mercedes,G -class AMG,2017,,Automatic,,Petrol,,Lekki,16000
2018 Mercedes Benz GLC300 AMG,"20,500,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,10000
Foreign used 2018 Range Rover Velar P380 R Dynamic SE,"35,000,000",Land rover,Range Rover,2018,,Automatic,,Petrol,,Lekki,23000
Brand New 2019 Toyota Prado,"32,500,000",Toyota,Prado,2018,,Automatic,,Petrol,,Lekki,300
Foreign used 2013 Range Rover Evogue ,"11,000,000",Land rover,Range Rover,2013,,Automatic,,Petrol,,Lekki,60000
Foreign used 2017 Mercedes Benz C63s AMG Coupe,"32,500,000",Mercedes,C -class AMG,2017,,Automatic,,Petrol,,Lekki,31000
Foreign used 2013 Mercedes Benz ML350 4Matic,"13,750,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Lekki,55000
 1974 Mercedes Benz 230,"6,500,000",Mercedes,E -class,1974,,Automatic,,Petrol,,Ikeja,81000
2016 White Automatic Mercedes-Benz GLE 450 ,"30,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Ikeja,25000
2013 Red Automatic Mercedes-Benz GLK,"13,200,000",Mercedes,GLK -class,2013,,Automatic,,Petrol,,Ikeja,25000
2008 Dark Blue Automatic Mercedes-Benz ML350,"6,000,000",Mercedes,ML -class AMG,2008,,Automatic,,Petrol,,Ikeja,13245
 2013 Black Automatic Mercedes-Benz ML350,"12,000,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Ikeja,61244
2019 Toyota Highlander 3.5L,"22,000,000",Toyota,Highlander,2018,,Automatic,,Petrol,,Ikeja,100
2020 Toyota Corolla,"20,000,000",Toyota,Corolla,2018,,Automatic,,Petrol,,Lagos,100
Foreign used 2013 Lexus IS250,"9,500,000",Lexus,IS,2013,,Automatic,,Petrol,,Lekki,73000
American used 2012 Range Rover Evogue ,"11,000,000",Land rover,Range Rover,2012,,Automatic,,Petrol,,Ikeja,70000
Toyota Camry 2005 ,"2,700,000",Toyota,Camry,2005,,Automatic,,Petrol,,Badagry,3214
Toyota Camry 2008,"3,000,000",Toyota,Camry,2005,,Automatic,,Petrol,,Lagos,"89,074"
 2008 upgraded to 2018 Toyota Landcruiser (Amoured),"28,500,000",Toyota,Land Cruiser,2018,,Automatic,,Petrol,,Lekki,70000
Foreign used 2014 Mercedes Benz ML350,"12,500,000",Mercedes,ML -class AMG,2014,,Automatic,,Petrol,,Lekki,64000
Mercedes Benz  2009,"6,000,000",Mercedes,GL -class,2009,,Automatic,,Petrol,,Mainland,97000
BMW 2013 FOR SALE,"14,000,000",BMW,X6,2013,,Automatic,,Petrol,,Abuja,13000
Foreign used 2014 Mercedes Benz CLA250 ,"9,250,000",Mercedes,CL -class,2014,,Automatic,,Petrol,,Lekki,85000
Foreign used 2016 Mercedes Benz GLE450,"26,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,50000
Foreign used Mercedes Benz S550 Coupe,"37,000,000",Mercedes,S -class,2015,,Automatic,,Petrol,,Lekki,35000
Nigerian used 2014 Range Rover Vogue,"17,000,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Lekki,88000
2018 TOYOTA HIGHLANDER,"22,000,000",Toyota,Highlander,2018,,Automatic,,Petrol,,Town,15000
2013 TOYOTA Rx350,"8,600,000",Lexus,RX,2013,,Automatic,,Petrol,,Town,41327
American used 2004 Toyota Highlander Limited,"2,900,000",Toyota,Highlander,2004,,Automatic,,Petrol,,Ikeja,120000
Foreign used 2013 Mercedes Benz GL450,"9,500,000",Mercedes,GL -class,2013,,Automatic,,Petrol,,Lekki,60000
Foreign Used 2014 Toyota Coaster Bus,"9,900,000",Toyota,Cresta,2013,,Automatic,,Petrol,,Lagos,66900
Classic Gold Lexus Rx350 ,"10,000,000",Lexus,RX,2013,,Automatic,,Petrol,,Lagos,54000
Foreign used 2017 Mercedes Benz GLE43 AMG ,"25,500,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,24000
Nigerian used 2016 Mercedes Benz GLE450,"21,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,41000
Foreign used 2016 Lexus LX570 Super Sport ,"39,000,000",Lexus,LX,2016,,Automatic,,Petrol,,Lekki,23000
Foreign used 2014 Chevrolet Camaro RS ,"14,000,000",Chevrolet,Camaro,2014,,Automatic,,Petrol,,Lekki,50000
American used 2008 Toyota Tundra Limited,"6,500,000",Toyota,Tundra,2008,,Automatic,,Petrol,,Ikeja,70000
Foreign used 2016 Mercedes Benz GLE63s,"31,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,36000
Foreign used 2017 Mercedes Benz C63s AMG,"37,500,000",Mercedes,C -class AMG,2017,,Automatic,,Petrol,,Lekki,31000
Foreign used 2014 Mercedes Benz CLA250,"8,000,000",Mercedes,CL -class,2014,,Automatic,,Petrol,,Lekki,94000
Foreign used 2016 Lexus LX570 Super Sport,"40,000,000",Lexus,LX,2016,,Automatic,,Petrol,,Lekki,14000
American used 2009 Toyota Venza XLE,"5,500,000",Toyota,Venza,2009,,Automatic,,Petrol,,Ikeja,80000
Foreign used 2013 Mercedes Benz ML350,"9,250,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Lekki,50000
Foreign used 2016 Mercedes Benz GLE63s AMG,"35,500,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,32000
Lexus jeep ,"3,000,000",Lexus,RX,2004,,Manual,,Petrol,,Asaba,500000
Toyota Hiace hummer bus,"8,000,000",Toyota,Hiace,2009,,Manual,,Petrol,,Asaba,100000
Foreign used 2013 Mercedes Benz GL450 4Matic,"13,200,000",Mercedes,GL -class,2013,,Automatic,,Petrol,,Lekki,50000
Nissan Pathfinder 2004,"3,000,000",Nissan,Pathfinder,2004,,Automatic,,Petrol,,Ibadan,60096
Foreign used 2019 Mercedes Benz E63s AMG,"70,000,000",Mercedes,E -class AMG,2018,,Automatic,,Petrol,,Lekki,5000
Foreign used 2017 Mercedes Benz G63 AMG,"60,000,000",Mercedes,G -class AMG,2017,,Automatic,,Petrol,,Lekki,16000
Mercedes-benz GL450,"8,000,000",Mercedes,GL -class,2012,,Automatic,,Petrol,,Ikeja,80000
Toyota 4runner limited,"22,000,000",Toyota,4runner,2018,,Automatic,,Petrol,,Ikeja,2000
ML 350 2014,"8,800,000",Mercedes,M -class,2014,,Automatic,,Petrol,,Abuja,55449
Mercedes E-Class 2004,"2,500,000",Mercedes,E -class,2004,,Automatic,,Petrol,,Onitsha,108055
 2017 Mercedes Benz E300,"20,000,000",Mercedes,E -class,2017,,Automatic,,Petrol,,Lekki,30000
Foreign used 2014 Porsche Panamera S,"17,000,000",Porsche,Panamera,2014,,Automatic,,Petrol,,Lekki,51000
Mercedes Benz C350 2009,"5,500,000",Mercedes,C -class,2009,,Automatic,,Hybrid,,Island,51000
Lexus,"19,999,999",Lexus,RX,2017,,Automatic,,Petrol,,Lagos,51000
Foreign used 2004 Lexus RX330,"3,600,000",Lexus,RX,2004,,Automatic,,Petrol,,Lekki,86000
Lexus Lx570 2017  ,"41,000,000",Lexus,LX,2017,,Automatic,,Petrol,,Lagos,7000
2009 Lexus Is250 Awd,"2,500,000",Lexus,IS,2009,,Automatic,,Petrol,,Abuja,101147
2017 Mercedes Benz E300,"18,000,000",Mercedes,E -class,2017,,Automatic,,Petrol,,Abuja,26000
2015 Mercedes Benz S63 AMG,"48,000,000",Mercedes,S -class AMG,2015,,Automatic,,Petrol,,Lekki,34000
 Toyota Camry Pencil 1999,"800,000",Toyota,Camry,1999,,Other,,Petrol,,Abeokuta,25600
Foreign used 2017 Mercedes Benz GLE43 AMG,"27,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,41000
Foreign used 2018 Range Rover Sport SuperCharged ,"42,500,000",Land rover,Range Rover,2018,,Automatic,,Petrol,,Lekki,17000
Mercedes benz Gle 450 Amg 4matic ,"22,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Island,10000
2017 Mercedes benz for quick sale ,"21,000,000",Mercedes,G -class AMG,2016,,Automatic,,Petrol,,Lagos,11000
Toyota Camry 1998,"800,000",Toyota,Camry,1998,,Automatic,,Petrol,,Apapa,08532
Nigerian used 2014 Mercedes Benz E350 4Matic,"8,500,000",Mercedes,E -class,2014,,Automatic,,Petrol,,Lekki,28000
Foreign used 2014 Mercedes Benz GL450,"15,000,000",Mercedes,GL -class,2014,,Automatic,,Petrol,,Lekki,68000
2007 Mazda Cx-7,"2,150,000",Mazda,CX-7,2007,,Automatic,,Petrol,,Lagos,126000
Foreign used 2016 Mercedes Benz GLE450 4Matic,"22,500,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,18000
Mercedes E-Class 2014,"10,500,000",Mercedes,E -class,2014,,Automatic,,Petrol,,Lagos,62000
Foreign used 2016 Mercedes Benz C63s AMG,"27,500,000",Mercedes,C -class AMG,2016,,Automatic,,Petrol,,Lekki,52000
Foreign used 2018 Range Rover Velar,"35,000,000",Land rover,Range Rover,2018,,Automatic,,Petrol,,Lekki,1200
  Toyota Tacoma 2007,"5,000,000",Toyota,Tacoma,2007,,Automatic,,Petrol,,Ikeja,95000
Foreign used 2013 Mercedes Benz ML350 4Matic,"10,500,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Lekki,35000
Foreign used 2017 Mercedes Benz GLE43 AMG,"28,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,41000
Mercedes Gl class  450 2015,"21,500,000",Mercedes,GL -class,2015,,Automatic,,Petrol,,Lagos,39000
Mercedes Benz AMG GLE63s,"60,000,000",Mercedes,G -class AMG,2018,,Automatic,,Petrol,,Lekki,800
Foreign used 2016 Ford Mustang GT,"19,500,000",Ford,Mustang,2016,,Automatic,,Petrol,,Lekki,20000
Foreign used 2015 Mercedes Benz CLS550 4Matic,"21,500,000",Mercedes,CLS -class,2015,,Automatic,,Petrol,,Lekki,16000
Cadillac XTS 2013 (Platinum),"14,000,000",Cadillac,STS,2013,,Automatic,,Petrol,,Lekki,19000
Range Rover Sport 2014,"19,500,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Lekki,48500
 Mercedes Benz E300 4Matic 2017,"19,000,000",Mercedes,E -class,2017,,Automatic,,Petrol,,Lekki,78000
Land Rover Lr3 2007 Hse,"3,300,000",Land rover,Range Rover,2007,,Automatic,,Petrol,,Lagos,45000
2005 Lexus Es330,"1,900,000",Lexus,ES,2005,,Automatic,,Petrol,,Lekki,60000
  Range Rover Sport 2014,"13,000,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Lekki,24000
 Mercedes Benz E300 AMG 2017,"19,500,000",Mercedes,E -class AMG,2017,,Automatic,,Petrol,,Lekki,29000
  Bmw X5 2012,"8,500,000",BMW,X5,2012,,Automatic,,Petrol,,Lagos,27000
Land Rover Lr3 2005 ,"23,000,000",Land rover,Series I,2005,,Automatic,,Petrol,,Abuja,85000
 Bmw 640i 2014,"16,500,000",BMW,6,2014,,Automatic,,Petrol,,Lagos,11400
Land Rover Range Rover Sport 2008 #2M,"20,000,000",Land rover,Range Rover,2007,,Automatic,,Petrol,,Abuja,86000
 Toyota Venza XLE 2009,"5,500,000",Toyota,Venza,2009,,Automatic,,Petrol,,Ikeja,71000
title,price,Make,Model,Year_of_manufacture,Condition,Transmission,Exchange,fuel_type,body_type,address_of_sale,Mileage
  Range Rover Sport 2014,"13,000,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Lekki,24000
 Mercedes Benz E300 AMG 2017,"19,500,000",Mercedes,E -class AMG,2017,,Automatic,,Petrol,,Lekki,29000
  Bmw X5 2012,"8,500,000",BMW,X5,2012,,Automatic,,Petrol,,Lagos,27000
Land Rover Lr3 2005 ,"23,000,000",Land rover,Series I,2005,,Automatic,,Petrol,,Abuja,85000
 Bmw 640i 2014,"16,500,000",BMW,6,2014,,Automatic,,Petrol,,Lagos,11400
Land Rover Range Rover Sport 2008 #2M,"20,000,000",Land rover,Range Rover,2007,,Automatic,,Petrol,,Abuja,86000
 Toyota Venza XLE 2009,"5,500,000",Toyota,Venza,2009,,Automatic,,Petrol,,Ikeja,71000
Toyota Sienna 2004,"2,550,000",Toyota,Sienna,2004,,Automatic,,Petrol,,Benin,1000
1999 Peugeot 406,"800,000",Peugeot,406,1999,,Automatic,,Petrol,,Ilorin,15300
Toyota Camry 1989,"750,000",Toyota,Camry,1989,,Automatic,,Petrol,,Harcourt,10900
2012 Toyota Hilux ,"8,000,000",Toyota,Hilux,2012,,Automatic,,Petrol,,Benin,25000
Mercedes Benz Glk 350 2014-White,"8,000,000",Mercedes,GLK -class,2014,,Automatic,,Petrol,,Lagos,57000
Volkswagen T4 Transporter  1996,"1,150,000",Volkswagen,Transporter,1996,,Manual,,Diesel,,Ijaiye,189000
Toyota Sienna 2008,"1,200,000",Toyota,Sienna,2008,,Automatic,,Petrol,,Zaria,87500
Ford F-150 Xlt 2011,"10,000,000",Ford,F150,2011,,Automatic,,Petrol,,Lagos,190000
2009 Toyata Highlander V6,"3,750,000",Toyota,Highlander,2009,,Automatic,,Petrol,,Ikeja,55316
Mercedes Benz GL450 ,"6,500,000",Mercedes,GL -class,2008,,Automatic,,Petrol,,Alimosho,75000
Toyota Camry 1998,"800,000",Toyota,Camry,1998,,Automatic,,Petrol,,Uyo,705068
Toyota Camry 1998 Model,"850,000",Toyota,Camry,1998,,Automatic,,Petrol,,Uyo,705608
Jeep Wrangler 2007 Unlimited Rubicon 4dr 4*4,"5,000,000",Jeep,Wrangler,2007,,Automatic,,Petrol,,Jos,52138
 Toyota Corolla 1994,"690,000",Toyota,Corolla,1994,,Manual,,Petrol,,Warri,300000
Bentley Turbo R 2007,"17,000,000",Bentley,Turbo R,2007,,Automatic,,Petrol,,Lekki,90940
Lexus ,"42,000,000",Lexus,LX,2016,,Automatic,,Petrol,,Lekki,45000
Lexus LX 2016,"45,000,000",Lexus,LX,2016,,Automatic,,Petrol,,Ikeja,45000
Lexus,"8,500,000",Lexus,RX,2013,,Automatic,,Petrol,,Ikeja,116940
1998 Toyota Corolla ,"1,500,000",Toyota,Corolla,1998,,Automatic,,Petrol,,Maiduguri,55000
Toyota Corolla 1999,"1,250,000",Toyota,Corolla,1999,,Automatic,,Petrol,,Badagry,55000
Mercedes-Benz GLK-Class 350,"7,000,000",Mercedes,GLK -class,2008,,Automatic,,Petrol,,Lagos,21567
Toyota Sienna 2003,"3,200,000",Toyota,Sienna,2003,,Automatic,,Petrol,,Badagry,98000
1999 Volkswagen Golf ,"1,200,000",Volkswagen,Golf,1999,,Manual,,Petrol,,Badagry,98000
 Lexus Lx570 2014,"42,000,000",Lexus,LX,2014,,Automatic,,Petrol,,Ikeja,121110
Mercedes Benz GL 450. 2018 model,"30,000,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Ikeja,10000
Mercedes Benz,"15,000,000",Mercedes,G -class,2010,,Automatic,,Petrol,,Abuja,10000
Mercedes Benz,"15,000,000",Mercedes,G -class,2010,,Automatic,,Petrol,,Abuja,10000
Range Rover Evoque Direct Belgium 2012,"12,500,000",Rover,Mini MK,2012,,Automatic,,Petrol,,Benin,5000
 Highlander Jeep 2008,"4,700,000",Toyota,Highlander,2008,,Automatic,,Petrol,,Osa,90000
Toyota Avenesis 2008 ,"2,200,000",Toyota,Avensis,2008,,Automatic,,Petrol,,Ikorodu,85417
2000 Toyota Land Cruiser,"2,600,000",Toyota,Land Cruiser,2000,,Automatic,,Petrol,,Abuja,72000
Toyota Highlander ,"5,300,000",Toyota,Highlander,2009,,Automatic,,Petrol,,Lagos,72000
Chevrolet Camaro 2012 ,"6,000,000",Chevrolet,Camaro,2012,,Automatic,,Petrol,,Abuja,70000
2012 Mercedes Benz GL450 4MATIC,"10,000,000",Mercedes,GL -class,2012,,Automatic,,Petrol,,Lagos,24000
Toyota Camry Se 07 2007,"2,500,000",Toyota,Camry,2007,,Automatic,,Petrol,,Oshodi,100234
Toyota Land Cruiser VXR 2018 model,"30,000,000",Toyota,Land Cruiser,2018,,Automatic,,Petrol,,Harcourt,77
Toyota Sequoia  2013 ,"70,000,000",Toyota,Sequoia,2013,,Automatic,,Petrol,,Abuja,77
Toyota Camry 1999,"700,000",Toyota,Camry,1999,,Automatic,,Petrol,,Lagos,58000
Toyota Camry for sale 600000processes,"8,000,000",Toyota,Camry,2005,,Automatic,,Petrol,,Lagos,580000
Toyota Camry for sale 300000price,"2,500,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,58000
Toyota Camry for sale 400000price,"8,000,000",Toyota,Camry,2005,,Automatic,,Petrol,,Lagos,58000
Toyota Camry for sale 600000price,"8,000,000",Toyota,Camry,2005,,Automatic,,Petrol,,Lagos,580000
Toyota Camry for sale,"8,000,000",Toyota,Camry,2005,,Automatic,,Petrol,,Lagos,580004
Toyota Tacoma 2007,"4,700,000",Toyota,Tacoma,2007,,Automatic,,Petrol,,Mainland,45937
Toyota Avensis 2010 ,"2,850,000",Toyota,Avensis,2010,,Automatic,,Petrol,,Mainland,39774
Lexus Es 2000,"2,600,000",Lexus,ES,2000,,Automatic,,Petrol,,Ogbomosho,250042
Toyota Corolla 2017,"6,000,000",Toyota,Corolla,2017,,Automatic,,Petrol,,Mainland,55914
2014 MERCEDES-BENZ GLK-CLASS 350,"8,300,000",Mercedes,GLK -class,2014,,Automatic,,Petrol,,Lagos,41304
Mercedes GLK 350,"8,000,000",Mercedes,GLK -class,2012,,Automatic,,Petrol,,Abuja,46000
2018 Lexus 350 F Sport,"35,000,000",Lexus,RX,2018,,Automatic,,Petrol,,Lagos,36000
2014 Mercedes Benz GLK 350 4matic,"8,500,000",Mercedes,GLK -class,2014,,Automatic,,Petrol,,Lagos,41304
Tokunbo toyota sienna blue colour,"6,500,000",Toyota,Sienna,2005,,Automatic,,Petrol,,Lagos,524333
Infinity G35 2013,"9,500,000",Infiniti,G35,2013,,Automatic,,Petrol,,Harcourt,100000
Land Rover Defender 110 300 Tdi ,"7,500,000",Land rover,Defender,1997,,Manual,,Diesel,,Lagos,57000
Direct Tokumbo Lexus GX460 2014,"21,000,000",Other,Other,2014,,Automatic,,Petrol,,Lagos,135000
2010 Honda Accord Coupe ,"1,650,000",Honda,Accord,2010,,Automatic,,Petrol,,Lekki,76892
Toyota Camry 1998,"1,150,000",Toyota,Camry,1998,,Automatic,,Petrol,,Surulere,180000
Toyota Corolla 2003 S,"1,850,000",Toyota,Corolla,2003,,Automatic,,Petrol,,Lekki,96400
Toyota Corolla 2007,"2,120,000",Toyota,Corolla,2007,,Automatic,,Petrol,,Lekki,200000
Toyota Camry 2009 SE,"2,688,000",Toyota,Corolla,2009,,Automatic,,Petrol,,Lekki,120000
Toyota Hilux 2013 automatic,"10,500,000",Toyota,Hilux,2013,,Automatic,,Petrol,,Ikeja,72632
Toyota Camry 2012,"3,750,000",Toyota,Camry,2012,,Automatic,,Petrol,,Lekki,118
clean Toyota Camry xle for urgent salehi,"10,000,000",Toyota,Camry,2010,,Automatic,,Petrol,,Badagry,78000
 Honda Accord  2008,"1,900,000",Honda,Accord,2008,,Automatic,,Petrol,,Abuja,"66,720"
Toyota Camry 2004,"1,700,000",Toyota,Camry,2004,,Automatic,,Petrol,,Warri,124111
Toyota Venza 2012,"6,000,000",Toyota,Venza,2012,,Automatic,,Petrol,,Warri,88211
Toyota Hilux 2018,"22,000,000",Toyota,Hilux,2018,,Automatic,,Petrol,,Abuja,11
