title,price,Make,Model,Year_of_manufacture,Condition,Transmission,Exchange,fuel_type,body_type,address_of_sale,Mileage
2017 Toyota Corolla LE ,"7,200,000",Toyota,Corolla,2017,,Automatic,,Petrol,,Lekki,46000
Foreign used 2017 Mercedes Benz E300 on AMG BodyKit,"20,000,000",Mercedes,E -class AMG,2017,,Automatic,,Petrol,,Lekki,39000
Foreign used 2017 Lexus LX570,"45,000,000",Lexus,LX,2017,,Automatic,,Petrol,,Lekki,14000
Foreign used 2018 Mercedes Benz GLS550,"36,500,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,20000
Foreign used 2013 Mercedes Benz ML350,"9,600,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Lekki,70000
Foreign used 2013 Mercedes Benz ML350,"9,500,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Lekki,70000
Foreign used 2009 Mercedes Benz GL550,"7,250,000",Mercedes,GL -class,2009,,Automatic,,Petrol,,Ikotun,90000
Foreign used 2014 Mercedes Benz GLK350,"9,500,000",Mercedes,GLK -class,2014,,Automatic,,Petrol,,Lekki,33000
Tokunbo Toyota Haice Bus (Hummer 1),"5,200,000",Toyota,Hiace,2008,,Automatic,,Petrol,,Surulere,100
Toyota Haice Bus 2004,"4,800,000",Toyota,Hiace,2004,,Automatic,,Petrol,,Surulere,100
New 2020 Toyota Hilux ,"27,000,000",Toyota,Hilux,2018,,Automatic,,Petrol,,Lekki,74
Foreign used 2004 Lexus RX330,"3,650,000",Lexus,RX,2004,,Automatic,,Petrol,,Lekki,76000
Lexus Es350 2016 Lagos Cleared ,"14,250,000",Lexus,ES,2016,,Automatic,,Petrol,,Mainland,85000
Lexus Es350 2017 Lagos Cleared ,"14,650,000",Lexus,ES,2017,,Automatic,,Petrol,,Lagos,90000
 2015 Mercedes Benz GLK350,"8,800,000",Mercedes,GLK -class,2015,,Automatic,,Petrol,,Lekki,35000
Foreign used 2016 Mercedes Benz GLE63 AMG,"42,500,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,8000
Foreign used 2017 Mercedes Benz GLS450,"35,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,33000
Foreign used 2015 Mercedes Benz ML350,"12,500,000",Mercedes,ML -class AMG,2015,,Automatic,,Petrol,,Lekki,50000
 Toyota Corrolla 2017 ,"7,300,000",Toyota,Corolla,2017,,Automatic,,Petrol,,Abuja,65000
Foreign used 2018 Mercedes Benz C300,"13,500,000",Mercedes,C -class,2018,,Automatic,,Petrol,,Lekki,30000
Toyota Rav4 2010 ,"3,650,000",Toyota,RAV4,2010,,Automatic,,Petrol,,Lekki,81000
Lexus Es350 2008,"2,700,000",Lexus,ES,2008,,Automatic,,Petrol,,Ikeja,93000
Honda Accord 2016 ,"5,700,000",Honda,Accord,2016,,Automatic,,Petrol,,Abuja,48000
 2016 Toyota Corolla S,"3,900,000",Toyota,Corolla,2016,,Automatic,,Petrol,,Lekki,31000
Mercedes Cls Class 2007,"4,000,000",Mercedes,CLS -class,2007,,Automatic,,Petrol,,Alimosho,180000
Foreign used 2014 Porsche Carrera911,"26,000,000",Porsche,Carrera GT,2014,,Automatic,,Petrol,,Lekki,21000
Foreign used 2017 Lexus RX350,"17,000,000",Lexus,RX,2017,,Automatic,,Petrol,,Lekki,35000
Toyota,"14,500,000",Toyota,Camry,2018,,Automatic,,Petrol,,Abuja,1000
2015 Toyota Hummer Bus,"8,000,000",Toyota,Hiace,2015,,Automatic,,Petrol,,Lagos,140
Toyota Hiace Bus 2016,"9,000,000",Toyota,Hiace,2016,,Automatic,,Petrol,,Jos,140
2017 Mercedes Benz GLS 450 ,"10,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Badagry,140
 2014 Toyota Venza,"10,000,000",Toyota,Venza,2014,,Automatic,,Petrol,,Ota,140
Toyota venza 2015,"8,000,000",Toyota,Venza,2015,,Automatic,,Petrol,,Badagry,140
2018 Mercedez Benz E300,"11,000,000",Mercedes,E -class AMG,2018,,Automatic,,Petrol,,Lagos,140
 Mercedes Benz E350 2016,"15,000,000",Mercedes,E -class AMG,2016,,Automatic,,Petrol,,Lagos,140
2017 Toyota Highlander,"8,000,000",Toyota,Highlander,2017,,Automatic,,Petrol,,Lagos,140
2019 Lexus Rx350 ,"11,000,000",Lexus,RX,2018,,Automatic,,Petrol,,Harcourt,140
2018 Toyota Highlander ,"9,000,000",Toyota,Highlander,2018,,Automatic,,Petrol,,Harcourt,140
Toyota Camry Se 2015,"3,000,000",Toyota,Camry,2015,,Automatic,,Petrol,,Ikorodu,50
Toyota corolla  2014,"8,300,000",Other,Other,2015,,Automatic,,Petrol,,Ikorodu,10000
2018 Toyota Highlander ,"11,000,000",Toyota,Highlander,2018,,Automatic,,Petrol,,Lagos,140
Foreign used 2017 Mercedes Benz G63 AMG,"53,000,000",Mercedes,G -class AMG,2017,,Automatic,,Petrol,,Lekki,22000
Foreign used 2015 Mercedes Benz ML350,"9,000,000",Mercedes,ML -class AMG,2015,,Automatic,,Petrol,,Lekki,42000
Foreign used 2016 Ford Mustang GT,"17,000,000",Ford,Mustang,2016,,Automatic,,Petrol,,Lekki,36000
American used 2003 Toyota Highlander Limited,"2,650,000",Toyota,Highlander,2003,,Automatic,,Petrol,,Ikeja,100000
American used 2009 Toyota Venza XLE,"5,800,000",Toyota,Venza,2009,,Automatic,,Petrol,,Ikeja,90000
Foreign used 2018 Lexus RX350 Premium Edition,"22,000,000",Lexus,RX,2018,,Automatic,,Petrol,,Lekki,29000
Foreign used 2018 Mercedes Benz GLE43,"35,000,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,20000
Foreign used 2013 Mercedes Benz G63 AMG,"35,000,000",Mercedes,G -class AMG,2013,,Automatic,,Petrol,,Lekki,40000
2016 Honda Accord LX For Sale,"9,000,000",Honda,Accord,2016,,Automatic,,Petrol,,Jos,140
Toyota venza 2015,"9,000,000",Toyota,Venza,2015,,Automatic,,Petrol,,Ikeja,140
Lexus Rx350 2018,"11,000,000",Lexus,RX,2018,,Automatic,,Petrol,,Owerri,140
Toyota venza 2015,"10,000,000",Toyota,Venza,2013,,Automatic,,Petrol,,Harcourt,140
Toyota Hilux,"8,500,000",Toyota,Hilux,2012,,Manual,,Diesel,,Harcourt,87258
Toyota Hiace,"9,500,000",Toyota,Hiace,2012,,Manual,,Diesel,,Harcourt,21470
Lexus Es350 2010,"15,000,000",Lexus,ES,2010,,Automatic,,Petrol,,Harcourt,140
Lexus Rx350 2018 ,"12,000,000",Lexus,RX,2018,,Automatic,,Petrol,,Lekki,180
Toyota corolla 2015 ,"8,000,000",Toyota,Corolla,2015,,Automatic,,Petrol,,Lagos,140
 Toyota Corolla 2017,"2,500,000",Toyota,Corolla,2017,,Automatic,,Gas,,Ojota,58415
Toyota Highland 2020,"15,000,000",Toyota,Highlander,2018,,Automatic,,Gas,,Abuja,4647
Toyota corolla 2018,"10,000,000",Toyota,Highlander,2018,,Automatic,,Gas,,Ogbomosho,17152
Toyota venza 2010,"13,000,000",Toyota,Venza,2010,,Automatic,,Gas,,Harcourt,154405
2014 Mercedes Benz,"8,000,000",Mercedes,GLK -class,2014,,Automatic,,Petrol,,Owerri,140
Tokunbo 2012 Toyota Highlander,"9,000,000",Toyota,Highlander,2012,,Automatic,,Petrol,,Badagry,140
Tokunbo Toyota 2018,"13,000,000",Toyota,Venza,2018,,Automatic,,Gas,,Harcourt,115776
Toyota Camry 2008 LE ,"7,000,000",Toyota,Camry,2008,,Automatic,,Petrol,,Harcourt,140
Toyota Venza 2010 Model For Sale,"11,000,000",Toyota,Venza,2010,,Automatic,,Petrol,,Ota,140
Foreign used 2018 Mercedes Benz E63s AMG,"50,000,000",Mercedes,E -class AMG,2018,,Automatic,,Petrol,,Lekki,18000
Foreign used 2014 Lexus IS250,"8,000,000",Lexus,IS,2014,,Automatic,,Petrol,,Lekki,38000
Foreign used 2018 Toyota Highlander XLE ,"17,800,000",Toyota,Highlander,2018,,Automatic,,Petrol,,Lekki,14000
Foreign used 2016 Mercedes Benz C300 4Matic,"12,500,000",Mercedes,C -class,2016,,Automatic,,Petrol,,Lekki,76000
Foreign used 2018 Mercedes Benz GLE350,"17,500,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,14000
Mercedes,"10,000,000",Mercedes,G -class AMG,2005,,Automatic,,Petrol,,Island,95000
Toyota Highlander 2017 Model,"15,000,000",Toyota,Highlander,2017,,Automatic,,Petrol,,Ibeju,19908
American used 2015 Toyota Corolla S ,"6,000,000",Toyota,Corolla,2015,,Automatic,,Petrol,,Ikeja,50000
2015 Toyota Venza,"7,300,000",Toyota,Venza,2015,,Automatic,,Petrol,,Lekki,50000
Foreign used 2010 Lexus GX460,"12,500,000",Lexus,GX,2010,,Automatic,,Petrol,,Lekki,67000
Foreign used 2017 Lexus IS300 F-Sport,"12,500,000",Lexus,IS F,2017,,Automatic,,Petrol,,Lekki,16000
2015 Toyota Camry SE,"6,000,000",Toyota,Camry,2015,,Automatic,,Petrol,,Lekki,55000
American used 2009 Mercedes Benz ML350 4Matic,"5,350,000",Mercedes,ML -class AMG,2009,,Automatic,,Petrol,,Ikeja,80000
Foreign used 2014 Range Rover Sport Autobiography ,"21,500,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Lekki,95000
Foreign used 2008 Dodge Challenger SRT8,"8,600,000",Dodge,Challenger,2008,,Automatic,,Petrol,,Lekki,46000
  2015 Facelifted to 2018 Toyota Avalon ,"7,600,000",Toyota,Avalon,2018,,Automatic,,Petrol,,Lekki,40000
Foreign used 2016 Lexus RX350,"11,500,000",Lexus,RX,2016,,Automatic,,Petrol,,Lekki,6000
Foreign used 2014 Mercedes Benz CLA250,"8,300,000",Mercedes,CL -class,2014,,Automatic,,Petrol,,Lekki,40000
American used 2013 Mercedes Benz ML350 4Matic,"11,500,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Ikeja,60000
Foreign used 2017 Mercedes Benz E300 on E63 Kit,"19,500,000",Mercedes,E -class AMG,2017,,Automatic,,Petrol,,Lekki,40000
Nigerian used 2017 Ford Explorer ,"11,500,000",Ford,Explorer,2017,,Automatic,,Petrol,,Lekki,61000
